HUC12,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel,Place
20600050506,447542,BAY699,SWM,CMON,MDDNR,MDDNR,XFG6431,6/22/2017,9:15:00,3.6,,,3.3,BS,D,S1,TDN,,0.48,MG/L,L01 ,CBL,,,,,38.77315,-76.2823,T3,Harris Creek-Coptank River
20600050506,447595,BAY703,SWM,CMON,MDDNR,MDDNR,XFG6431,8/17/2017,10:15:00,4.7,,,4.4,BS,D,S1,TDN,,0.5,MG/L,L01 ,CBL,,,,,38.77315,-76.2823,T3,Harris Creek-Coptank River
20600050506,447596,BAY703,SWM,CMON,MDDNR,MDDNR,XFG6431,8/30/2017,8:45:00,3.5,,,3.2,BS,D,S1,TDN,,0.54,MG/L,L01 ,CBL,,,,,38.77315,-76.2823,T3,Harris Creek-Coptank River
20600050506,447653,BAY700,SWM,CMON,MDDNR,MDDNR,XFG6431,7/13/2017,9:15:00,3.9,,,3.6,BS,D,S1,TDN,,0.64,MG/L,L01 ,CBL,,,,,38.77315,-76.2823,T3,Harris Creek-Coptank River
20600050506,447654,BAY701,SWM,CMON,MDDNR,MDDNR,XFG6431,7/27/2017,8:15:00,4.6,,,4.3,BS,D,S1,TDN,,0.67,MG/L,L01 ,CBL,,,,,38.77315,-76.2823,T3,Harris Creek-Coptank River
20600050506,447685,BAY711,SWM,CMON,MDDNR,MDDNR,XFG2810,12/19/2017,12:00:00,3,,,2.7,BS,D,S1,TDN,,0.47,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,447687,BAY711,SWM,CMON,MDDNR,MDDNR,XFG6431,12/19/2017,13:30:00,3.2,,,2.9,BS,D,S1,TDN,,0.4,MG/L,L01 ,CBL,,,,,38.77315,-76.2823,T3,Harris Creek-Coptank River
20600050506,447701,BAY708,SWM,CMON,MDDNR,MDDNR,XFG2810,11/14/2017,12:00:00,3.3,,,3,BS,D,S1,TDN,,0.36,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,447703,BAY708,SWM,CMON,MDDNR,MDDNR,XFG6431,11/14/2017,11:00:00,3.4,,,3.1,BS,D,S1,TDN,,0.49,MG/L,L01 ,CBL,,,,,38.77315,-76.2823,T3,Harris Creek-Coptank River
20600050506,447746,BAY706,SWM,CMON,MDDNR,MDDNR,XFG6431,10/11/2017,9:00:00,3.8,,,3.5,BS,D,S1,TDN,,0.55,MG/L,L01 ,CBL,,,,,38.77315,-76.2823,T3,Harris Creek-Coptank River
20600050506,447747,BAY707,SWM,CMON,MDDNR,MDDNR,XFG6431,10/31/2017,8:00:00,3.2,,,2.9,BS,D,S1,TDN,,0.57,MG/L,L01 ,CBL,,,,,38.77315,-76.2823,T3,Harris Creek-Coptank River
20600050506,447799,BAY704,SWM,CMON,MDDNR,MDDNR,XFG6431,9/12/2017,9:30:00,3.7,,,3.4,BS,D,S1,TDN,,0.41,MG/L,L01 ,CBL,,,,,38.77315,-76.2823,T3,Harris Creek-Coptank River
20600050506,447800,BAY705,SWM,CMON,MDDNR,MDDNR,XFG6431,9/27/2017,8:45:00,3.6,,,3.3,BS,D,S1,TDN,,0.48,MG/L,L01 ,CBL,,,,,38.77315,-76.2823,T3,Harris Creek-Coptank River
20600050506,447848,BAY697,SWM,CMON,MDDNR,MDDNR,XFG6431,5/18/2017,10:00:00,3.6,,,3.3,BS,D,S1,TDN,,0.4,MG/L,L01 ,CBL,,,,,38.77315,-76.2823,T3,Harris Creek-Coptank River
